Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
perl program language,1,1,2400,48,1.69,https://www.perl.org/,1920,12.51,3244.00,0,12000000,"[0,0,0,0,0,0,0,81,100,0,0,0]",2025-12-20,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
perl,1,0,14800,94,1.59,https://www.perl.org/about.html,1657,10.79,2634.00,0,40000000,"[66,66,81,54,66,54,54,66,81,54,66,54]",2025-12-25,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview","informational, navigational",AI overview
base64 decode,10,10,40500,60,0.00,https://perldoc.perl.org/MIME::Base64,891,5.8,0.00,0,6760000,"[81,54,54,54,66,44,54,66,81,54,44,66]",2025-12-19,"Sitelinks, Video, Related searches",informational,Organic
perl regular expression,1,1,590,28,0.00,https://perldoc.perl.org/perlre,472,3.07,0.00,0,5250000,"[55,30,30,36,36,36,36,30,30,30,24,30]",2025-12-04,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about, Discussions and forums, AI overview",informational,Organic
perl,1,1,14800,94,1.59,https://www.perl.org/,384,2.5,610.00,0,40000000,"[66,66,81,54,66,54,54,66,81,54,66,54]",2025-12-25,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview","informational, navigational",Organic
perl regexp,1,1,480,27,0.00,https://perldoc.perl.org/perlre,384,2.5,0.00,0,5170000,"[59,48,39,48,48,32,26,72,48,59,48,39]",2025-09-06,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl scripting language,1,1,390,49,0.00,https://www.perl.org/,312,2.03,0.00,0,16400000,"[72,39,32,26,21,59,26,48,59,39,48,39]",2025-12-16,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
tr,14,14,246000,73,0.00,https://perldoc.perl.org/functions/tr,246,1.6,0.00,0,2060000000,"[66,54,81,81,100,100,81,66,44,54,81,54]",2025-12-25,"Image pack, Sitelinks, Video",navigational,Organic
perl download,1,1,260,40,0.00,https://www.perl.org/get.html,208,1.35,0.00,0,38600000,"[36,29,44,44,36,29,29,36,36,36,36,36]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
test2,2,2,2400,31,0.00,https://perldoc.perl.org/Test2,196,1.27,0.00,0,23300000,"[54,54,43,43,36,54,54,54,54,36,81,43]",2025-12-23,"Image pack, Video, Related searches",informational,Organic
perl programming language,1,1,6600,53,1.69,https://www.perl.org/,171,1.11,288.00,0,16600000,"[66,54,44,36,16,44,24,16,29,66,29,29]",2025-12-19,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
windows perl,1,1,210,46,0.00,https://www.perl.org/get.html,168,1.09,0.00,0,30000000,"[53,53,66,53,53,66,53,53,43,43,43,35]",2025-12-17,"Sitelinks, Video, Related searches",informational,Organic
split perl,1,1,210,23,0.00,https://perldoc.perl.org/functions/split,168,1.09,0.00,0,77,"[15,54,12,54,44,19,54,4,23,7,0,7]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
install perl,1,1,210,23,0.00,https://www.perl.org/get.html,168,1.09,0.00,0,17500000,"[54,43,35,43,43,43,43,35,35,10,43,43]",2025-11-30,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
